Day Never Infected Immune Deaths Hospitalized Ventilated ICU Exposed Asymptomatic Presymptomatic Symptomatic CumulativeDeaths MaxInfected
0 6.81511092e6 5.27 0.0 0.0 0.0 0.0 0.0 5.18 0.04 0.05 0.0 0.0 5.27
1 6.81511088e6 5.31 0.0 0.0 0.04 0.01 0.0 4.99 0.1 0.22 0.0 0.0 5.31
2 6.8151107e6 5.49 0.0 0.0 0.09 0.04 0.0 4.68 0.27 0.46 0.08 0.0 5.49
3 6.8151103e6 5.89 0.0 0.0 0.16 0.05 0.0 4.35 0.54 0.84 0.16 0.0 5.89
4 6.81510943e6 6.76 0.0 0.0 0.31 0.12 0.01 4.06 0.98 1.18 0.54 0.0 6.76
5 6.81510829e6 7.86 0.04 0.0 0.4 0.12 0.01 4.03 1.4 1.27 1.16 0.0 7.87
6 6.81510675e6 9.34 0.1 0.0 0.45 0.12 0.01 4.53 1.81 1.32 1.68 0.0 9.36
7 6.81510489e6 11.14 0.16 0.0 0.46 0.12 0.02 5.42 2.11 1.26 2.35 0.0 11.18
8 6.81510265e6 13.27 0.27 0.0 0.53 0.11 0.02 6.69 2.53 1.09 2.96 0.0 13.29
9 6.81510069e6 15.11 0.39 0.0 0.5 0.1 0.02 7.6 2.87 1.27 3.37 0.0 15.14
10 6.81509809e6 17.5 0.6 0.0 0.56 0.11 0.01 9.0 3.35 1.35 3.8 0.0 17.55
11 6.81509533e6 19.78 1.07 0.01 0.56 0.11 0.01 10.01 4.0 1.63 4.14 0.01 19.85
12 6.81509193e6 22.53 1.72 0.01 0.65 0.17 0.03 11.45 4.49 2.06 4.53 0.02 22.63
13 6.81508818e6 25.57 2.43 0.01 0.77 0.28 0.04 13.07 5.06 2.41 5.03 0.03 25.64
14 6.81508338e6 29.35 3.45 0.01 0.82 0.31 0.04 15.42 5.72 2.65 5.56 0.04 29.48
15 6.8150784e6 33.27 4.5 0.02 1.0 0.35 0.05 17.5 6.5 3.17 6.1 0.06 33.4
16 6.81507182e6 38.8 5.54 0.03 1.11 0.35 0.07 20.94 7.38 3.45 7.03 0.09 38.9
17 6.8150647e6 44.91 6.54 0.04 1.21 0.41 0.1 24.06 8.38 4.23 8.24 0.13 44.94
18 6.81505708e6 51.04 8.02 0.05 1.27 0.44 0.12 27.44 9.63 4.91 9.06 0.18 51.15
19 6.81504865e6 58.22 9.26 0.06 1.5 0.51 0.16 30.63 11.05 5.95 10.59 0.24 58.26
20 6.81503802e6 67.13 10.95 0.09 1.75 0.59 0.16 35.15 12.69 6.81 12.48 0.33 67.14
21 6.81502587e6 77.58 12.64 0.1 2.07 0.77 0.25 40.58 14.79 7.54 14.67 0.43 77.6
22 6.81501165e6 89.68 14.75 0.11 2.42 0.91 0.29 47.15 16.95 8.67 16.91 0.54 89.71
